rank_by_installs,title,developer,category,installs,ratings,reviews,rating_ratio_pct,review_ratio_pct,flags,ad_supported,offers_iap,pp_is_http,privacy_policy,appId,first_keyword,matched_keywords,url
43,Show WiFi Password & WiFi Map,Wolf Kan,Productivity,5215077,0,0,0.0,0,ratings/installs<0.1%,True,True,False,https://docs.google.com/document/d/e/2PACX-1vQROoQEqvAf8qJMDpFRVOYhR3Wfslp2AjgBhdRE6s4HAkdY0s1d8zqyYn_OzqioWdlNxh2r6RGlX-lK/pub,com.wifiscanner.wifipassword.showpassword,wifi password,wifi password,https://play.google.com/store/apps/details?id=com.wifiscanner.wifipassword.showpassword&hl=en&gl=us
44,Drivvo - Vehicle management,Drivvo,Auto & Vehicles,5145801,112721,1633,2.1905,1.4487,rev/rat<2% (text-less stars),True,True,False,https://www.drivvo.com/en/termos_de_uso/,br.com.ctncardoso.ctncar,dot inspection,dot inspection;truck fuel;fuel log;gasbuddy,https://play.google.com/store/apps/details?id=br.com.ctncardoso.ctncar&hl=en&gl=us
45,Trucker Ben - Truck Simulator,Go Dreams,Simulation,4984733,33961,667,0.6813,1.964,rev/rat<2% (text-less stars),True,True,False,https://gardenofdreams.games/privacy-policy-3,com.Poloskun.TruckerBen,trucker,trucker;trucking,https://play.google.com/store/apps/details?id=com.Poloskun.TruckerBen&hl=en&gl=us
46,Wifi Password Viewer・Generator,One Music Player,Tools,4891630,55199,157,1.1284,0.2844,rev/rat<2% (text-less stars),True,True,False,https://onemusicplayer.com/wifipasswordviewer/privacy/,com.wifipv.wifipasswordviewergeneratorrecover,wifi password,wifi password,https://play.google.com/store/apps/details?id=com.wifipv.wifipasswordviewergeneratorrecover&hl=en&gl=us
47,Obd Mary – Car Scanner for ELM,WyspaTech,Auto & Vehicles,4837943,143570,1131,2.9676,0.7878,rev/rat<2% (text-less stars),True,True,False,https://obdscanner.net/mobile-apps-privacy-policy/,com.elm.elm327.obd2.eobd.obd.car.scanner.diagnostics.tool.dashboard.doctor.check.engine.torque.speed.trouble.codes.mary,obd2,obd2;vehicle diagnostics,https://play.google.com/store/apps/details?id=com.elm.elm327.obd2.eobd.obd.car.scanner.diagnostics.tool.dashboard.doctor.check.engine.torque.speed.trouble.codes.mary&hl=en&gl=us
48,WiFi Password Show - Analyzer,Quantum4u,Tools,4814453,28938,529,0.6011,1.828,rev/rat<2% (text-less stars),True,True,False,https://www.quantum4u.in/privacy-policy,app.pnd.fourg,wifi password,wifi password,https://play.google.com/store/apps/details?id=app.pnd.fourg&hl=en&gl=us
49,Wifi Password Show: Wifi Scan,Global Coporation,Tools,4440334,0,0,0.0,0,ratings/installs<0.1%,False,False,False,https://sites.google.com/view/privacy-policy-wifi-pass/home,tool.wifi.connect.wifimaster.app,wifi password,wifi password,https://play.google.com/store/apps/details?id=tool.wifi.connect.wifimaster.app&hl=en&gl=us
50,WiFi Monitor: network analyzer,Alexander Kozyukov,Tools,4271018,43838,594,1.0264,1.355,rev/rat<2% (text-less stars),True,False,False,https://signalmonitoring.com/en/wifi-monitoring-privacy-policy,com.signalmonitoring.wifimonitoring,wifi analyzer,wifi analyzer,https://play.google.com/store/apps/details?id=com.signalmonitoring.wifimonitoring&hl=en&gl=us
51,Net Signal: WiFi & 5G Meter,Phuongpn,Tools,4203565,68009,1248,1.6179,1.8351,rev/rat<2% (text-less stars),True,False,False,https://phuongpndev.web.app/net-signal-privacy/,com.phuongpn.wifisignalstrengthmeter,cell signal,cell signal;network signal;cellular signal;5g signal,https://play.google.com/store/apps/details?id=com.phuongpn.wifisignalstrengthmeter&hl=en&gl=us
52,WiFi Map: WiFi QR Scanner,HoangSi,Personalization,4102814,0,0,0.0,0,ratings/installs<0.1%,True,False,False,https://sites.google.com/view/policy-priva-store-hong/home,com.wifishow.passwordwifi.speedtest.connection,wifi password,wifi password,https://play.google.com/store/apps/details?id=com.wifishow.passwordwifi.speedtest.connection&hl=en&gl=us
